,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Mateo Kovačić,hr CRO,MF,Chelsea,24,1994,19.3,0,28,4,14.3,1.45,0.21,0,0,21.2,0,0,0,2.2,2.2,0.08,-2.2,-2.2,1359,1484,91.6,18642,4312,818,862,94.9,411,444,92.6,50,65,76.9,2,1.7,2,0.3,25,124,17,1,140,45,29,23,19,3,20,46,43.5,26,19,2,17,8,53,18,1
Manuel Lanzini,ar ARG,MF,West Ham,25,1993,7.6,1,11,4,36.4,1.44,0.52,0.09,0.25,20,3,0,0,1.1,1.1,0.1,-0.1,-0.1,409,472,86.7,5044,1522,262,280,93.6,99,117,84.6,12,25,48,1,0.8,1.2,0.2,5,31,5,0,39,12,7,5,6,1,5,18,27.8,13,3,1,2,9,21,7,1
Mario Lemina,ga GAB,MF,Southampton,24,1993,17.9,1,25,5,20,1.39,0.28,0.04,0.2,22.2,0,0,0,1.1,1.1,0.04,-0.1,-0.1,704,826,85.2,12024,3166,339,369,91.9,280,322,87,67,98,68.4,1,1.1,1.1,-0.1,13,75,13,1,92,49,32,23,23,3,15,34,44.1,19,27,3,24,43,92,31,1
Aaron Lennon,eng ENG,MF,Burnley,31,1987,13.5,1,4,2,50,0.3,0.15,0.25,0.5,13.4,0,0,0,0.8,0.8,0.2,0.2,0.2,227,307,73.9,3224,613,136,167,81.4,75,92,81.5,9,16,56.3,1,0.7,0.8,0.3,7,10,6,3,18,26,16,11,12,3,6,14,42.9,8,24,0,24,10,36,18,0
Jefferson Lerma,co COL,MF,Bournemouth,23,1994,27.8,2,31,8,25.8,1.11,0.29,0.06,0.25,25.8,0,0,0,1.3,1.3,0.04,0.7,0.7,1301,1568,83,21652,6479,655,749,87.4,504,578,87.2,104,160,65,0,1.1,1.2,-1.1,15,134,10,1,133,45,31,20,20,5,14,54,25.9,40,35,19,16,54,99,88,1
Sean Longstaff,eng ENG,MF,Newcastle Utd,20,1997,7.6,1,8,2,25,1.05,0.26,0.13,0.5,23.6,0,0,0,0.7,0.7,0.09,0.3,0.3,239,297,80.5,4621,1139,104,123,84.6,92,100,92,37,59,62.7,0,0.5,0.5,-0.5,5,33,6,2,28,17,13,6,11,0,9,24,37.5,15,19,4,15,10,27,7,0
Lazar Marković,rs SRB,MF,Fulham,24,1994,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,28,29,96.6,333,77,16,17,94.1,7,7,100,2,2,100,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Nemanja Matić,rs SRB,MF,Manchester Utd,29,1988,27.1,1,12,3,25,0.44,0.11,0.08,0.33,17.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,1602,1858,86.2,27696,7386,708,787,90,650,719,90.4,161,216,74.5,0,0.5,0.9,-0.5,13,154,19,2,165,50,30,27,19,4,30,59,50.8,29,39,18,21,31,81,53,4
James McArthur,sct SCO,MF,Crystal Palace,30,1987,34,3,34,8,23.5,1,0.24,0.09,0.38,15,0,0,0,4.1,4.1,0.12,-1.1,-1.1,1135,1445,78.5,18691,4949,559,646,86.5,436,528,82.6,98,171,57.3,6,3.3,3.1,2.7,31,103,12,1,142,84,51,38,32,14,30,78,38.5,48,64,22,42,39,123,55,0
James McCarthy,ie IRL,MF,Everton,27,1990,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,7,7,100,114,7,4,4,100,3,3,100,0,0,,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,,0,0,0,0,1,3,0,0
Kevin McDonald,sct SCO,MF,Fulham,29,1988,9.3,0,4,0,0,0.43,0,0,,28.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,494,583,84.7,8643,2412,232,257,90.3,190,208,91.3,58,90,64.4,0,0.1,0.1,-0.1,4,39,0,0,41,15,11,6,8,1,5,13,38.5,8,8,2,6,9,24,22,0
Dwight McNeil,eng ENG,MF,Burnley,18,1999,17.7,3,27,6,22.2,1.53,0.34,0.11,0.5,20.9,3,0,0,2,2,0.07,1,1,380,583,65.2,6143,2005,215,251,85.7,100,157,63.7,46,109,42.2,5,3.4,2.6,1.6,26,24,17,11,41,36,22,16,17,3,13,44,29.5,31,30,3,27,13,49,35,0
Nampalys Mendy,sn SEN,MF,Leicester City,26,1992,23.2,0,2,0,0,0.09,0,0,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,971,1097,88.5,15025,3966,516,559,92.3,336,373,90.1,71,96,74,0,0.2,0.5,-0.2,5,89,5,2,104,33,18,16,16,1,6,22,27.3,16,24,8,16,26,59,26,2
Max Meyer,de GER,MF,Crystal Palace,22,1995,15.7,1,38,8,21.1,2.42,0.51,0.03,0.13,19.1,0,0,0,1.8,1.8,0.05,-0.8,-0.8,562,697,80.6,8002,2022,339,391,86.7,178,210,84.8,24,45,53.3,2,1.2,1,0.8,22,51,16,2,73,33,18,14,18,1,11,20,55,9,6,0,6,15,48,19,0
Luka Milivojević,rs SRB,MF,Crystal Palace,27,1991,38,12,46,13,28.3,1.21,0.34,0.04,0.15,30,16,10,11,10.9,2.2,0.05,1.1,-0.2,1649,2189,75.3,31073,10185,675,770,87.7,700,845,82.8,230,463,49.7,2,3,3.3,-1,59,181,23,7,219,90,69,36,47,7,39,91,42.9,52,47,15,32,72,162,68,3
João Moutinho,pt POR,MF,Wolves,31,1986,33.7,1,18,3,16.7,0.53,0.09,0.06,0.33,26.2,1,0,0,0.7,0.7,0.04,0.3,0.3,1649,2072,79.6,30933,9045,648,724,89.5,710,825,86.1,234,413,56.7,8,6.5,6,1.5,84,161,41,15,220,113,58,50,56,7,44,126,34.9,82,56,11,45,40,153,50,0
Samir Nasri,fr FRA,MF,West Ham,31,1987,2.7,0,3,0,0,1.1,0,0,,21,0,0,0,0.1,0.1,0.04,-0.1,-0.1,140,160,87.5,1877,445,84,92,91.3,29,31,93.5,12,18,66.7,2,0.3,0.5,1.7,6,14,5,1,17,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
Wilfred Ndidi,ng NGA,MF,Leicester City,21,1996,36.6,2,55,9,16.4,1.5,0.25,0.04,0.22,20.9,0,0,0,3.7,3.7,0.07,-1.7,-1.7,1591,2008,79.2,26201,7192,769,912,84.3,615,738,83.3,130,203,64,0,1.8,1.6,-1.8,22,167,11,0,201,142,98,66,67,9,46,95,48.4,49,64,9,55,83,225,85,2
Rúben Neves,pt POR,MF,Wolves,21,1997,33.4,4,72,14,19.4,2.15,0.42,0.03,0.14,29.3,11,2,2,4,2.4,0.03,0,-0.4,1583,1977,80.1,33441,9557,512,587,87.2,743,840,88.5,295,455,64.8,3,1.9,1.6,1.1,23,192,16,4,206,75,32,33,36,6,27,83,32.5,56,57,18,39,73,148,46,3
Mark Noble,eng ENG,MF,West Ham,31,1987,25.5,5,13,4,30.8,0.51,0.16,0.08,0.25,28.8,0,4,4,3.7,0.5,0.04,1.3,0.5,1305,1549,84.2,23997,7095,554,622,89.1,512,582,88,187,253,73.9,5,1.9,2,3.1,21,139,23,4,197,47,26,19,24,4,17,52,32.7,35,17,2,15,21,68,13,0
Pedro Obiang,gq EQG,MF,West Ham,26,1992,12.5,0,15,1,6.7,1.2,0.08,0,0,23.6,0,0,0,0.6,0.6,0.04,-0.6,-0.6,432,546,79.1,7320,2301,230,266,86.5,116,152,76.3,63,87,72.4,1,1,0.7,0,6,52,7,1,65,41,23,23,16,2,18,43,41.9,25,27,9,18,12,53,18,0
Alex Oxlade-Chamberlain,eng ENG,MF,Liverpool,24,1993,0.2,0,1,1,100,4.29,4.29,0,0,10,0,0,0,0.5,0.5,0.54,-0.5,-0.5,10,13,76.9,162,67,6,7,85.7,4,4,100,0,1,0,0,0.1,0,-0.1,1,3,0,0,4,1,1,0,1,0,1,1,100,0,0,0,0,1,2,0,0
Andreas Pereira,br BRA,MF,Manchester Utd,22,1996,6.7,1,8,2,25,1.2,0.3,0.13,0.5,26.6,1,0,0,0.3,0.3,0.03,0.7,0.7,297,368,80.7,4795,1505,145,168,86.3,114,130,87.7,20,39,51.3,1,0.9,0.5,0.1,9,21,8,2,33,8,6,5,2,1,4,15,26.7,11,9,2,7,11,19,8,1
Roberto Pereyra,ar ARG,MF,Watford,27,1991,31.3,6,57,21,36.8,1.82,0.67,0.11,0.29,17.5,6,0,0,5.4,5.4,0.09,0.6,0.6,962,1192,80.7,13806,3701,557,620,89.8,272,336,81,67,92,72.8,1,3.2,3,-2.2,34,77,35,4,117,21,12,10,10,1,7,24,29.2,17,26,0,26,24,45,27,2
Paul Pogba,fr FRA,MF,Manchester Utd,25,1993,33.4,13,95,39,41.1,2.84,1.17,0.06,0.15,22.9,6,7,10,15,7.1,0.07,-2,-1.1,1728,2129,81.2,29890,8747,811,899,90.2,598,725,82.5,214,308,69.5,9,4.7,5,4.3,54,212,59,2,295,47,30,21,21,5,17,43,39.5,26,30,9,21,18,65,39,0
Davy Pröpper,nl NED,MF,Brighton,26,1991,28.3,1,15,2,13.3,0.53,0.07,0.07,0.5,15.9,0,0,0,0.9,0.9,0.06,0.1,0.1,973,1243,78.3,17226,4813,425,508,83.7,414,491,84.3,104,160,65,1,1.3,1.4,-0.3,19,131,17,1,165,50,28,23,21,6,16,52,30.8,36,21,6,15,53,103,37,0
Jason Puncheon,eng ENG,MF,Crystal Palace,32,1986,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,9,12,75,104,31,7,7,100,2,4,50,0,0,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Jason Puncheon,eng ENG,MF,Huddersfield,32,1986,4.2,0,6,0,0,1.41,0,0,,21.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,165,214,77.1,2673,960,79,94,84,50,64,78.1,21,30,70,0,0.5,0.2,-0.5,5,20,4,0,26,7,4,1,5,1,1,7,14.3,6,3,1,2,3,10,8,0
Domingos Quina,pt POR,MF,Watford,18,1999,3.8,1,5,1,20,1.33,0.27,0.2,1,25.7,0,0,0,0.2,0.2,0.03,0.8,0.8,195,232,84.1,3385,980,89,104,85.6,80,88,90.9,20,25,80,0,0.1,0.2,-0.1,2,25,3,1,20,9,7,3,5,1,3,11,27.3,8,6,0,6,3,12,1,0
Joe Ralls,eng ENG,MF,Cardiff City,24,1993,21.8,0,22,2,9.1,1.01,0.09,0,0,24.1,0,0,1,1.6,0.8,0.04,-1.6,-0.8,563,864,65.2,11256,4265,224,283,79.2,214,271,79,107,247,43.3,0,3.2,2.6,-3.2,33,106,11,4,111,45,23,21,21,3,10,33,30.3,23,21,6,15,29,74,30,0
Aaron Ramsey,wls WAL,MF,Arsenal,27,1990,14.8,4,33,13,39.4,2.23,0.88,0.12,0.31,17.2,0,0,0,3.4,3.4,0.1,0.6,0.6,652,807,80.8,9568,2275,368,419,87.8,192,226,85,43,59,72.9,6,2,2.3,4,25,51,16,4,88,34,18,11,15,8,7,25,28,18,7,1,6,9,43,3,0
Declan Rice,eng ENG,MF,West Ham,19,1999,33.4,2,22,5,22.7,0.66,0.15,0.09,0.4,18.3,0,0,0,1.2,1.2,0.05,0.8,0.8,1313,1524,86.2,23599,5791,552,627,88,545,605,90.1,169,205,82.4,0,0.4,0.7,-0.4,9,126,2,0,127,98,60,35,58,5,38,88,43.2,50,51,12,39,52,150,56,0
Oriol Romeu,es ESP,MF,Southampton,26,1991,23.7,1,10,4,40,0.42,0.17,0.1,0.25,21.7,0,0,0,0.9,0.9,0.1,0.1,0.1,878,1111,79,14496,4798,427,488,87.5,376,460,81.7,60,105,57.1,0,1,0.8,-1,8,115,10,1,147,81,46,39,38,4,32,77,41.6,45,43,17,26,52,133,44,1
Carlos Sánchez,co COL,MF,West Ham,32,1986,2.7,0,3,0,0,1.1,0,0,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,127,143,88.8,2500,587,41,49,83.7,56,59,94.9,25,30,83.3,0,0.1,0,-0.1,2,12,1,0,14,4,3,4,0,0,3,8,37.5,5,1,0,1,1,5,5,2
Morgan Schneiderlin,fr FRA,MF,Everton,28,1989,9.3,0,3,0,0,0.32,0,0,,17,0,0,0,0.1,0.1,0.05,-0.1,-0.1,484,548,88.3,7784,2030,255,274,93.1,154,174,88.5,51,65,78.5,1,0.4,0.6,0.6,8,43,4,0,47,24,16,11,11,2,6,14,42.9,8,16,3,13,15,39,16,0
Jean Seri,ci CIV,MF,Fulham,27,1991,24.9,1,19,6,31.6,0.76,0.24,0.05,0.17,25.7,3,0,0,0.9,0.9,0.05,0.1,0.1,1427,1707,83.6,25102,7012,646,705,91.6,557,641,86.9,171,264,64.8,2,4.8,3.4,-2.8,57,125,28,9,164,41,28,20,20,1,13,45,28.9,32,40,9,31,32,73,17,4
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,26,1992,10.5,1,23,8,34.8,2.18,0.76,0.04,0.13,28.9,4,0,0,0.9,0.9,0.04,0.1,0.1,463,685,67.6,10154,4250,155,183,84.7,183,245,74.7,109,218,50,1,1.7,1.5,-0.7,25,74,24,4,74,22,12,10,9,3,8,17,47.1,9,10,3,7,7,29,15,0
Gylfi Sigurðsson,is ISL,MF,Everton,28,1989,34.6,13,81,29,35.8,2.34,0.84,0.14,0.38,20.3,7,2,5,10.7,6.7,0.08,2.3,4.3,802,1206,66.5,12498,4914,389,474,82.1,257,349,73.6,85,209,40.7,6,6.9,6.1,-0.9,73,88,49,9,172,56,36,20,25,11,16,47,34,31,38,4,34,28,84,24,0
Adrien Silva,pt POR,MF,Leicester City,29,1989,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,69,80,86.3,1165,330,37,41,90.2,22,25,88,8,9,88.9,0,0,0,0,0,7,1,0,11,2,2,0,1,1,0,2,0,2,1,0,1,1,3,1,0
David Silva,es ESP,MF,Manchester City,32,1986,26.7,6,51,18,35.3,1.91,0.67,0.12,0.33,14.1,4,0,0,7.8,7.8,0.15,-1.8,-1.8,1795,2108,85.2,24214,5509,1044,1158,90.2,521,600,86.8,83,128,64.8,8,8.5,8.6,-0.5,73,138,84,4,270,30,18,12,11,7,1,20,5,19,18,1,17,22,52,15,0
Josh Sims,eng ENG,MF,Southampton,21,1997,2.4,0,5,1,20,2.12,0.42,0,0,17.8,0,0,0,0.6,0.6,0.12,-0.6,-0.6,32,45,71.1,424,109,18,21,85.7,9,12,75,1,3,33.3,1,0.7,0.5,0.3,1,2,0,0,0,1,0,1,0,0,1,3,33.3,2,2,0,2,1,2,1,0
Oliver Skipp,eng ENG,MF,Tottenham,17,2000,2.4,0,2,0,0,0.82,0,0,,16.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,122,145,84.1,1960,441,63,75,84,46,48,95.8,9,11,81.8,0,0,0.1,0,1,10,0,0,8,7,3,4,3,0,4,6,66.7,2,2,1,1,1,8,7,0
Callum Slattery,eng ENG,MF,Southampton,19,1999,1.2,0,1,0,0,0.8,0,0,,15.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,22,32,68.8,342,107,13,15,86.7,6,8,75,3,7,42.9,0,0,0,0,0,3,1,0,3,4,3,0,4,0,3,7,42.9,4,1,1,0,2,6,1,0
Robert Snodgrass,sct SCO,MF,West Ham,30,1987,24.7,2,30,7,23.3,1.22,0.28,0.07,0.29,19.9,4,0,0,2.3,2.3,0.08,-0.3,-0.3,859,1150,74.7,13135,4021,415,475,87.4,270,353,76.5,83,174,47.7,5,5.6,5.3,-0.6,59,67,30,7,117,44,27,18,24,2,13,46,28.3,33,24,4,20,11,55,23,0
Dale Stephens,eng ENG,MF,Brighton,29,1989,27.6,1,11,1,9.1,0.4,0.04,0.09,1,27.4,0,0,0,0.3,0.3,0.03,0.7,0.7,1136,1365,83.2,21941,6362,462,522,88.5,492,550,89.5,166,229,72.5,1,0.7,0.7,0.3,18,138,11,1,151,83,57,37,41,5,28,74,37.8,46,33,13,20,46,129,47,0
Ki Sung-yueng,kr KOR,MF,Newcastle Utd,29,1989,14.5,0,9,2,22.2,0.62,0.14,0,0,28.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,523,654,80,9874,2694,223,251,88.8,182,208,87.5,92,150,61.3,1,1,1,0,16,48,8,0,66,14,10,5,8,1,3,12,25,9,11,1,10,19,33,20,0
Andrew Surman,eng ENG,MF,Bournemouth,31,1986,16,0,9,1,11.1,0.56,0.06,0,0,24.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,731,842,86.8,12239,3658,359,393,91.3,289,319,90.6,66,95,69.5,0,0.4,0.8,-0.4,10,63,14,1,89,11,6,6,5,0,3,13,23.1,10,20,7,13,10,21,34,1
Youri Tielemans,be BEL,MF,Leicester City,21,1997,12.1,3,31,12,38.7,2.57,0.99,0.1,0.25,24.7,2,0,0,1.8,1.8,0.06,1.2,1.2,551,663,83.1,9505,2322,243,276,88,208,233,89.3,68,90,75.6,4,2.5,1.7,1.5,16,69,12,2,85,17,8,5,9,3,5,17,29.4,12,13,2,11,5,22,13,1
Lucas Torreira,uy URU,MF,Arsenal,22,1996,26.5,2,25,6,24,0.94,0.23,0.08,0.33,23.1,2,0,0,1.5,1.5,0.06,0.5,0.5,1405,1632,86.1,23340,6020,632,705,89.6,610,664,91.9,101,153,66,2,1.2,1.6,0.8,16,93,17,1,140,65,39,24,32,9,25,57,43.9,32,34,7,27,41,106,33,2
Victor Wanyama,ke KEN,MF,Tottenham,27,1991,5.7,1,7,2,28.6,1.22,0.35,0.14,0.5,20.2,0,0,0,1,1,0.14,0,0,265,329,80.5,3988,965,141,165,85.5,108,131,82.4,8,13,61.5,0,0.1,0.1,-0.1,2,19,0,0,28,13,13,8,5,0,6,12,50,6,9,3,6,7,20,11,0
Ashley Westwood,eng ENG,MF,Burnley,28,1990,31.4,2,22,7,31.8,0.7,0.22,0.09,0.29,22.2,1,0,0,1.9,1.9,0.09,0.1,0.1,1118,1525,73.3,20683,6536,441,517,85.3,474,586,80.9,157,314,50,7,4.8,4,2.2,42,127,41,11,175,58,30,24,27,7,14,39,35.9,25,38,9,29,47,105,42,2
Georginio Wijnaldum,nl NED,MF,Liverpool,27,1990,30.3,3,30,8,26.7,0.99,0.26,0.1,0.38,15.3,0,0,0,3,3,0.1,0,0,1620,1791,90.5,24920,5460,870,931,93.4,592,635,93.2,97,125,77.6,0,1.8,2,-1.8,25,152,17,0,168,41,28,14,20,7,14,27,51.9,13,21,7,14,21,62,24,0
Danny Williams,us USA,MF,Huddersfield,29,1989,1.1,0,1,0,0,0.94,0,0,,30.3,0,0,0,0,0,0.02,0,0,19,24,79.2,313,56,7,8,87.5,12,14,85.7,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,,0,4,1,3,1,1,2,0
Jack Wilshere,eng ENG,MF,West Ham,26,1992,4.4,0,2,1,50,0.46,0.23,0,0,16.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,194,219,88.6,2948,583,111,113,98.2,50,53,94.3,22,28,78.6,1,0.6,0.2,0.4,5,17,2,0,20,7,4,1,4,2,2,6,33.3,4,3,1,2,7,14,0,0
Harry Winks,eng ENG,MF,Tottenham,22,1996,17.7,1,9,2,22.2,0.51,0.11,0.11,0.5,22,0,0,0,1,1,0.12,0,0,1277,1399,91.3,20995,4913,614,647,94.9,524,552,94.9,92,123,74.8,0,0.3,0.5,-0.3,7,121,8,0,124,22,13,12,9,1,5,30,16.7,25,19,3,16,21,43,19,0
Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,22,1995,16.9,0,21,5,23.8,1.25,0.3,0,0,24.7,0,0,0,0.8,0.8,0.04,-0.8,-0.8,913,1048,87.1,13982,4366,493,526,93.7,345,400,86.3,49,65,75.4,0,0.2,0.5,-0.2,7,100,6,1,112,48,29,23,20,5,18,52,34.6,34,25,6,19,34,82,32,0
Diogo Dalot,pt POR,"DF,FW",Manchester Utd,19,1999,11.3,0,15,0,0,1.33,0,0,,24.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7,389,560,69.5,6025,2079,192,231,83.1,144,210,68.6,26,56,46.4,2,2.3,2,-0.3,17,22,14,7,31,24,12,8,14,2,14,19,73.7,5,15,2,13,10,34,35,1
Ricardo Pereira,pt POR,"DF,FW",Leicester City,24,1993,34.7,2,25,9,36,0.72,0.26,0.08,0.22,20.2,0,0,0,1.2,1.2,0.05,0.8,0.8,1479,1953,75.7,22028,8123,840,970,86.6,515,703,73.3,75,149,50.3,6,5.2,4.1,0.8,33,106,32,11,170,118,66,66,40,12,54,112,48.2,58,60,6,54,60,178,130,1
Juninho Bacuna,cw CUW,"MF,DF",Huddersfield,20,1997,15.7,1,19,8,42.1,1.21,0.51,0.05,0.13,27,2,0,0,0.7,0.7,0.04,0.3,0.3,565,770,73.4,10416,3609,267,314,85,192,242,79.3,91,167,54.5,0,1.4,1.3,-1.4,18,92,13,1,95,46,29,22,19,5,22,54,40.7,32,21,1,20,24,70,12,1
Calum Chambers,eng ENG,"MF,DF",Fulham,23,1995,28.8,2,35,11,31.4,1.22,0.38,0.06,0.18,19.4,0,0,0,2.3,2.3,0.07,-0.3,-0.3,1175,1509,77.9,20289,6779,580,661,87.7,444,533,83.3,121,238,50.8,0,0.9,0.8,-0.9,16,114,14,0,158,64,36,32,27,5,16,48,33.3,32,37,12,25,69,133,113,4
Eric Dier,eng ENG,"MF,DF",Tottenham,24,1994,16.7,3,9,3,33.3,0.54,0.18,0.33,1,12,0,0,0,1,1,0.11,2,2,923,1093,84.4,15766,4675,412,462,89.2,416,470,88.5,70,114,61.4,0,1,0.9,-1,8,76,14,1,95,26,16,7,15,4,19,47,40.4,28,27,12,15,21,47,46,1
Jon Gorenc Stanković,si SVN,"MF,DF",Huddersfield,22,1996,7.9,1,9,2,22.2,1.13,0.25,0.11,0.5,16.2,0,0,0,1,1,0.11,0,0,224,297,75.4,4080,1375,87,100,87,106,130,81.5,25,48,52.1,0,0.1,0.1,-0.1,2,18,3,0,17,26,18,18,7,1,14,26,53.8,12,16,9,7,9,35,20,1
Jordon Ibe,eng ENG,"MF,DF",Bournemouth,22,1995,8.9,1,9,3,33.3,1.02,0.34,0.11,0.33,16.9,0,0,0,0.8,0.8,0.09,0.2,0.2,213,288,74,3124,958,127,147,86.4,69,85,81.2,14,27,51.9,1,0.6,1,0.4,10,10,17,3,28,6,5,0,5,1,2,7,28.6,5,2,0,2,4,10,4,0
Kenedy,br BRA,"MF,DF",Newcastle Utd,22,1996,15,1,30,5,16.7,2,0.33,0.03,0.2,22.8,1,0,1,2.2,1.4,0.05,-1.2,-0.4,374,533,70.2,5558,1760,213,250,85.2,105,152,69.1,31,62,50,1,0.7,0.9,0.3,11,32,13,7,41,30,22,11,16,3,12,29,41.4,17,10,0,10,32,62,24,1
Scott McTominay,sct SCO,"MF,DF",Manchester Utd,21,1996,9.6,2,15,6,40,1.56,0.62,0.13,0.33,17.7,0,0,0,1.5,1.5,0.1,0.5,0.5,376,456,82.5,6182,1781,175,200,87.5,154,175,88,28,48,58.3,0,0,0.1,0,1,27,1,0,34,10,9,3,6,1,4,10,40,6,9,4,5,15,25,16,0
James Milner,eng ENG,"MF,DF",Liverpool,32,1986,19.9,5,21,4,19,1.06,0.2,0.1,0.5,22.7,1,3,3,3.4,1.1,0.05,1.6,0.9,1313,1636,80.3,22432,7644,662,727,91.1,463,539,85.9,151,260,58.1,4,5.3,6,-1.3,44,131,37,9,164,43,23,14,24,5,15,41,36.6,26,40,5,35,18,61,30,0
Jacob Murphy,eng ENG,"MF,DF",Newcastle Utd,23,1995,3.4,0,2,1,50,0.6,0.3,0,0,30.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,36,67,53.7,733,271,13,22,59.1,16,24,66.7,7,16,43.8,1,0.6,0.4,0.4,1,4,2,2,7,6,2,4,2,0,2,4,50,2,5,2,3,1,7,7,0
Romain Saïss,ma MAR,"MF,DF",Wolves,28,1990,12.8,2,11,5,45.5,0.86,0.39,0.18,0.4,18.5,0,0,0,1.4,1.4,0.13,0.6,0.6,578,760,76.1,10960,3717,209,253,82.6,272,335,81.2,73,120,60.8,0,0.6,0.3,-0.6,4,51,3,2,66,39,26,23,14,2,20,37,54.1,17,25,12,13,26,65,61,0
James Ward-Prowse,eng ENG,"MF,DF",Southampton,23,1994,21.6,7,30,15,50,1.39,0.69,0.2,0.4,20.9,7,1,1,3.4,2.7,0.09,3.6,3.3,613,892,68.7,9931,3270,328,388,84.5,210,280,75,57,180,31.7,0,3.2,3.5,-3.2,46,56,11,4,61,36,17,19,13,4,14,43,32.6,29,30,6,24,27,63,59,0
Ben Wilmot,eng ENG,"MF,DF",Watford,18,1999,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,6,9,66.7,180,121,2,2,100,1,3,33.3,3,4,75,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,0
Granit Xhaka,ch SUI,"MF,DF",Arsenal,25,1992,27.8,4,29,11,37.9,1.04,0.4,0.14,0.36,26.5,7,0,0,2,2,0.07,2,2,1981,2425,81.7,35961,10942,869,959,90.6,809,929,87.1,245,416,58.9,2,3.4,3.5,-1.4,40,225,37,9,258,52,29,29,20,3,24,59,40.7,35,35,9,26,36,88,56,3
Joe Bryan,eng ENG,"DF,MF",Fulham,24,1993,26.1,0,21,7,33.3,0.81,0.27,0,0,23.4,0,0,0,0.7,0.7,0.03,-0.7,-0.7,915,1293,70.8,15199,6931,442,512,86.3,388,517,75,70,190,36.8,1,3.5,3.6,-2.5,24,79,22,15,118,61,41,35,21,5,24,42,57.1,18,34,12,22,31,92,82,1
Jonny Castro,es ESP,"DF,MF",Wolves,24,1994,30.8,1,25,7,28,0.81,0.23,0.04,0.14,20,0,0,0,2,2,0.08,-1,-1,1099,1405,78.2,14776,4550,692,777,89.1,308,398,77.4,43,92,46.7,1,1.6,1.3,-0.6,31,36,22,7,75,79,43,42,33,4,31,60,51.7,29,45,8,37,60,139,64,2
Cyrus Christie,ie IRL,"DF,MF",Fulham,25,1992,21.6,0,12,3,25,0.55,0.14,0,0,21.8,0,0,0,0.4,0.4,0.03,-0.4,-0.4,870,1210,71.9,13877,4803,441,502,87.8,369,497,74.2,44,142,31,1,1.2,1.6,-0.2,17,46,23,14,81,43,23,26,13,4,18,41,43.9,23,25,11,14,29,72,96,1
Matt Doherty,ie IRL,"DF,MF",Wolves,26,1992,34.9,4,46,17,37,1.32,0.49,0.09,0.24,12.9,0,0,0,4.4,4.4,0.1,-0.4,-0.4,1324,1838,72,20796,8973,690,826,83.5,476,649,73.3,90,191,47.1,5,5.1,4.2,-0.1,37,85,30,8,129,67,42,48,15,4,35,58,60.3,23,49,7,42,60,127,107,2
Florent Hadergjonaj,xk KVX,"DF,MF",Huddersfield,24,1994,20.5,0,6,2,33.3,0.29,0.1,0,0,19.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,688,973,70.7,11043,4256,371,429,86.5,217,316,68.7,69,152,45.4,0,1.5,1.3,-1.5,23,43,24,18,65,30,17,10,18,2,13,37,35.1,24,21,7,14,21,51,37,1
Sead Kolašinac,ba BIH,"DF,MF",Arsenal,25,1993,21,0,9,2,22.2,0.43,0.1,0,0,17.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,951,1229,77.4,13166,4258,568,649,87.5,290,371,78.2,40,77,51.9,5,6,4.7,-1,31,44,25,9,76,34,21,21,7,6,20,34,58.8,14,12,3,9,20,54,28,3
