,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Bernard,br BRA,"MF,FW",Everton,26,1992,14.2,3,12,5,41.7,0.84,0.35,0.25,0.6,16.6,1,0,0,1.8,1.8,0.15,1.2,1.2,423,578,73.2,6033,1772,230,279,82.4,138,181,76.2,22,44,50,2,2.4,2.3,-0.4,24,42,26,6,76,32,22,12,14,6,13,44,29.5,31,22,2,20,16,48,7,0
Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,8.5,0,18,7,38.9,2.12,0.82,0,0,21.3,0,0,0,1,1,0.06,-1,-1,232,321,72.3,3322,947,145,180,80.6,66,92,71.7,12,27,44.4,2,2.9,1.4,-0.9,15,24,8,2,41,16,8,6,5,5,6,15,40,9,17,0,17,4,20,1,0
David Brooks,wls WAL,"MF,FW",Bournemouth,22,1997,5.6,1,6,2,33.3,1.07,0.36,0.17,0.5,23.9,1,0,0,0.5,0.5,0.08,0.5,0.5,121,180,67.2,1700,574,68,86,79.1,34,45,75.6,9,26,34.6,0,0.3,0.7,-0.3,6,10,10,5,17,5,5,1,2,2,2,14,14.3,12,5,1,4,2,7,1,0
Lewis Cook,eng ENG,"MF,FW",Bournemouth,22,1997,15,0,9,2,22.2,0.6,0.13,0,0,25.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,572,739,77.4,10075,3152,274,321,85.4,219,261,83.9,70,109,64.2,0,0.5,0.9,-0.5,11,66,10,1,80,27,14,15,9,3,10,47,21.3,37,17,5,12,17,44,17,1
Christian Eriksen,dk DEN,"MF,FW",Tottenham,27,1992,12.2,2,26,9,34.6,2.13,0.74,0.08,0.22,25.1,7,0,0,1.9,1.9,0.07,0.1,0.1,563,761,74,8861,2703,316,362,87.3,162,226,71.7,57,117,48.7,2,1.9,1.8,0.1,24,51,23,1,74,19,9,10,8,1,7,24,29.2,17,10,1,9,12,31,16,0
Pablo Fornals,es ESP,"MF,FW",West Ham,23,1996,24.1,2,36,11,30.6,1.49,0.46,0.06,0.18,18.1,0,0,0,2.3,2.3,0.06,-0.3,-0.3,678,909,74.6,9935,2578,400,455,87.9,189,255,74.1,53,101,52.5,5,2.5,1.8,2.5,19,61,23,3,91,46,28,21,18,7,19,64,29.7,45,35,1,34,25,71,15,0
Ryan Fraser,sct SCO,"MF,FW",Bournemouth,25,1994,23,1,27,11,40.7,1.18,0.48,0.04,0.09,17.2,2,0,0,3.7,3.7,0.14,-2.7,-2.7,658,964,68.3,9972,3561,373,438,85.2,210,296,70.9,55,157,35,4,3.9,3.6,0.1,44,62,39,8,100,12,6,5,5,2,7,22,31.8,15,15,3,12,15,27,24,0
Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,19,2000,1.4,0,2,0,0,1.4,0,0,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,64,83,77.1,962,230,32,37,86.5,26,33,78.8,2,6,33.3,0,0.1,0.1,-0.1,3,3,2,0,6,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Anthony Gordon,eng ENG,"MF,FW",Everton,18,2001,4.9,0,6,1,16.7,1.23,0.2,0,0,20.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,93,121,76.9,1465,374,52,58,89.7,29,38,76.3,9,15,60,1,0.4,0.2,0.6,6,9,1,1,9,11,7,5,6,0,5,15,33.3,10,6,2,4,8,19,4,0
Demarai Gray,jm JAM,"MF,FW",Leicester City,23,1996,6.9,2,22,7,31.8,3.18,1.01,0.09,0.29,19.8,3,0,1,2.8,2,0.09,-0.8,0,265,327,81,3789,759,177,187,94.7,55,79,69.6,21,29,72.4,3,2.1,2.1,0.9,16,10,13,5,21,12,6,6,6,0,6,12,50,6,7,0,7,5,17,4,0
