,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Gerard Deulofeu,es ESP,"FW,MF",Watford,23,1994,4.8,1,8,4,50,1.66,0.83,0.13,0.25,20.1,2,0,0,0.5,0.5,0.07,0.5,0.5,110,160,68.8,1602,455,60,80,75,31,42,73.8,9,14,64.3,0,0.6,0.4,-0.6,11,12,5,1,13,5,3,2,2,1,2,11,18.2,9,0,0,0,4,9,3,1
Pascal Groß,de GER,"FW,MF",Brighton,26,1991,32.5,7,43,19,44.2,1.32,0.58,0.14,0.32,21.5,1,1,1,3.3,2.5,0.06,3.7,3.5,1001,1470,68.1,16478,5349,516,607,85,258,378,68.3,142,307,46.3,8,8.3,6.1,-0.3,82,86,39,16,153,36,24,18,16,2,10,67,14.9,57,31,5,26,14,50,20,0
Eden Hazard,be BEL,"FW,MF",Chelsea,26,1991,26.9,12,69,34,49.3,2.56,1.26,0.14,0.29,17.4,1,2,2,7.7,6.2,0.09,4.3,3.8,1168,1440,81.1,18699,5183,631,748,84.4,312,371,84.1,148,171,86.5,4,6.4,7.4,-2.4,83,122,79,4,218,6,3,2,3,1,3,21,14.3,18,11,0,11,3,9,0,0
Jeff Hendrick,ie IRL,"FW,MF",Burnley,25,1992,25.9,2,25,6,24,0.97,0.23,0.08,0.33,19.7,0,0,0,2,2,0.08,0,0,656,827,79.3,10332,2034,314,378,83.1,273,319,85.6,33,60,55,2,2.7,1.6,-0.7,26,62,16,4,80,16,10,4,10,2,3,17,17.6,14,11,2,9,8,24,21,1
Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,20,1996,9.2,3,29,10,34.5,3.14,1.08,0.1,0.3,17.4,0,0,0,4.1,4.1,0.15,-1.1,-1.1,197,255,77.3,2707,585,118,143,82.5,53,63,84.1,13,25,52,3,2.3,2.1,0.7,11,15,12,0,26,9,6,3,5,1,3,20,15,17,10,2,8,3,12,4,0
Jesé,es ESP,"FW,MF",Stoke City,24,1993,6.8,1,12,4,33.3,1.76,0.59,0.08,0.25,18.8,0,0,0,0.9,0.9,0.08,0.1,0.1,118,162,72.8,1739,363,68,80,85,32,45,71.1,9,14,64.3,1,0.7,0.7,0.3,9,7,6,0,14,10,7,3,5,2,3,13,23.1,10,5,0,5,0,10,3,0
Elias Kachunga,cd COD,"FW,MF",Huddersfield,25,1992,14.8,1,12,5,41.7,0.81,0.34,0.08,0.2,11.1,0,0,0,1.9,1.9,0.16,-0.9,-0.9,231,368,62.8,2834,483,163,212,76.9,54,89,60.7,5,17,29.4,1,0.6,0.5,0.4,10,6,6,1,24,30,26,13,12,5,8,19,42.1,11,14,1,13,2,32,9,0
Joshua King,no NOR,"FW,MF",Bournemouth,25,1992,27.3,8,49,19,38.8,1.8,0.7,0.12,0.32,15.9,0,2,2,6.5,4.9,0.1,1.5,1.1,514,730,70.4,7926,1895,275,363,75.8,197,272,72.4,25,42,59.5,3,4.9,3.6,-1.9,38,48,34,4,83,36,26,11,17,8,4,27,14.8,23,23,3,20,4,40,14,1
Rajiv van La Parra,nl NED,"FW,MF",Huddersfield,26,1991,23.7,3,42,14,33.3,1.77,0.59,0.05,0.14,21.6,0,1,1,3.1,2.3,0.05,-0.1,-0.3,517,725,71.3,7433,1525,298,362,82.3,169,232,72.8,24,55,43.6,0,0.9,1.2,-0.9,14,20,15,6,65,41,29,18,15,8,12,41,29.3,29,27,1,26,21,62,8,1
Érik Lamela,ar ARG,"FW,MF",Tottenham,25,1992,9.4,2,20,6,30,2.14,0.64,0.1,0.33,14.2,0,0,0,3.4,3.4,0.17,-1.4,-1.4,379,477,79.5,5766,1209,205,234,87.6,137,165,83,25,43,58.1,2,2,1.6,0,16,32,17,0,46,23,13,9,7,7,3,20,15,17,11,1,10,7,30,5,0
Aaron Lennon,eng ENG,"FW,MF",Everton,30,1987,8.8,0,4,1,25,0.45,0.11,0,0,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,146,219,66.7,2086,558,92,122,75.4,45,60,75,6,11,54.5,0,0.2,0.3,-0.2,4,6,3,0,19,17,10,10,5,2,5,21,23.8,16,13,1,12,11,28,9,0
Fernando Llorente,es ESP,"FW,MF",Tottenham,32,1985,2.6,1,6,2,33.3,2.27,0.76,0.17,0.5,12.5,0,0,0,1,1,0.17,0,0,60,88,68.2,683,107,42,57,73.7,15,25,60,0,2,0,0,0.2,0.1,-0.2,4,2,2,0,4,6,3,1,2,3,1,2,50,1,0,0,0,0,6,6,0
